Service,Route,DirName,FX_DirNum,Sequence,Station,StopID,TimePeriod, AvgDailyBoardings , AvgDailyAlightings 
SAT,701,TO DRAPER      ,0,1,Salt Lake Central Station,21799,1-AM Peak, 127 , 6 
SAT,701,TO DRAPER      ,0,1,Salt Lake Central Station,21799,2-Midday, 435 , 25 
SAT,701,TO DRAPER      ,0,1,Salt Lake Central Station,21799,3-PM Peak, 277 , 27 
SAT,701,TO DRAPER      ,0,1,Salt Lake Central Station,21799,4-Evening, 117 , 16 
SAT,701,TO DRAPER      ,0,2,Old GreekTown Station,21801,1-AM Peak, 97 , 8 
SAT,701,TO DRAPER      ,0,2,Old GreekTown Station,21801,2-Midday, 155 , 17 
SAT,701,TO DRAPER      ,0,2,Old GreekTown Station,21801,3-PM Peak, 60 , 7 
SAT,701,TO DRAPER      ,0,2,Old GreekTown Station,21801,4-Evening, 39 , 8 
SAT,701,TO DRAPER      ,0,3,Planetarium Station,21762,1-AM Peak, 44 , 7 
SAT,701,TO DRAPER      ,0,3,Planetarium Station,21762,2-Midday, 254 , 62 
SAT,701,TO DRAPER      ,0,3,Planetarium Station,21762,3-PM Peak, 167 , 31 
SAT,701,TO DRAPER      ,0,3,Planetarium Station,21762,4-Evening, 86 , 12 
SAT,701,TO DRAPER      ,0,4,Arena Station,18406,1-AM Peak, 45 , 19 
SAT,701,TO DRAPER      ,0,4,Arena Station,18406,2-Midday, 202 , 66 
SAT,701,TO DRAPER      ,0,4,Arena Station,18406,3-PM Peak, 124 , 43 
SAT,701,TO DRAPER      ,0,4,Arena Station,18406,4-Evening, 71 , 28 
SAT,701,TO DRAPER      ,0,5,Temple Square Station,18408,1-AM Peak, 23 , 69 
SAT,701,TO DRAPER      ,0,5,Temple Square Station,18408,2-Midday, 145 , 201 
SAT,701,TO DRAPER      ,0,5,Temple Square Station,18408,3-PM Peak, 116 , 121 
SAT,701,TO DRAPER      ,0,5,Temple Square Station,18408,4-Evening, 117 , 47 
SAT,701,TO DRAPER      ,0,6,City Center Station,18386,1-AM Peak, 45 , 47 
SAT,701,TO DRAPER      ,0,6,City Center Station,18386,2-Midday, 381 , 268 
SAT,701,TO DRAPER      ,0,6,City Center Station,18386,3-PM Peak, 365 , 178 
SAT,701,TO DRAPER      ,0,6,City Center Station,18386,4-Evening, 295 , 73 
SAT,701,TO DRAPER      ,0,7,Gallivan Plaza Station,18376,1-AM Peak, 27 , 16 
SAT,701,TO DRAPER      ,0,7,Gallivan Plaza Station,18376,2-Midday, 158 , 87 
SAT,701,TO DRAPER      ,0,7,Gallivan Plaza Station,18376,3-PM Peak, 104 , 62 
SAT,701,TO DRAPER      ,0,7,Gallivan Plaza Station,18376,4-Evening, 66 , 48 
SAT,701,TO DRAPER      ,0,8,Courthouse Station,18410,1-AM Peak, 37 , 95 
SAT,701,TO DRAPER      ,0,8,Courthouse Station,18410,2-Midday, 119 , 391 
SAT,701,TO DRAPER      ,0,8,Courthouse Station,18410,3-PM Peak, 86 , 275 
SAT,701,TO DRAPER      ,0,8,Courthouse Station,18410,4-Evening, 53 , 207 
SAT,701,TO DRAPER      ,0,9,900 South Station,20973,1-AM Peak, 36 , 16 
SAT,701,TO DRAPER      ,0,9,900 South Station,20973,2-Midday, 66 , 65 
SAT,701,TO DRAPER      ,0,9,900 South Station,20973,3-PM Peak, 36 , 46 
SAT,701,TO DRAPER      ,0,9,900 South Station,20973,4-Evening, 19 , 29 
SAT,701,TO DRAPER      ,0,10,Ballpark Station,18412,1-AM Peak, 32 , 36 
SAT,701,TO DRAPER      ,0,10,Ballpark Station,18412,2-Midday, 90 , 118 
SAT,701,TO DRAPER      ,0,10,Ballpark Station,18412,3-PM Peak, 51 , 73 
SAT,701,TO DRAPER      ,0,10,Ballpark Station,18412,4-Evening, 33 , 46 
SAT,701,TO DRAPER      ,0,11,Central Pointe Station,18414,1-AM Peak, 41 , 50 
SAT,701,TO DRAPER      ,0,11,Central Pointe Station,18414,2-Midday, 118 , 123 
SAT,701,TO DRAPER      ,0,11,Central Pointe Station,18414,3-PM Peak, 72 , 63 
SAT,701,TO DRAPER      ,0,11,Central Pointe Station,18414,4-Evening, 54 , 44 
SAT,701,TO DRAPER      ,0,12,Millcreek Station,18388,1-AM Peak, 32 , 34 
SAT,701,TO DRAPER      ,0,12,Millcreek Station,18388,2-Midday, 79 , 105 
SAT,701,TO DRAPER      ,0,12,Millcreek Station,18388,3-PM Peak, 43 , 65 
SAT,701,TO DRAPER      ,0,12,Millcreek Station,18388,4-Evening, 19 , 38 
SAT,701,TO DRAPER      ,0,13,Meadowbrook Station,18390,1-AM Peak, 19 , 15 
SAT,701,TO DRAPER      ,0,13,Meadowbrook Station,18390,2-Midday, 48 , 70 
SAT,701,TO DRAPER      ,0,13,Meadowbrook Station,18390,3-PM Peak, 30 , 53 
SAT,701,TO DRAPER      ,0,13,Meadowbrook Station,18390,4-Evening, 15 , 34 
SAT,701,TO DRAPER      ,0,14,Murray North Station,18392,1-AM Peak, 22 , 13 
SAT,701,TO DRAPER      ,0,14,Murray North Station,18392,2-Midday, 44 , 62 
SAT,701,TO DRAPER      ,0,14,Murray North Station,18392,3-PM Peak, 24 , 44 
SAT,701,TO DRAPER      ,0,14,Murray North Station,18392,4-Evening, 12 , 31 
SAT,701,TO DRAPER      ,0,15,Murray Central Station,18394,1-AM Peak, 40 , 46 
SAT,701,TO DRAPER      ,0,15,Murray Central Station,18394,2-Midday, 98 , 159 
