Service,Route,DirName,FX_DirNum,Sequence,Station,StopID,TimePeriod, AvgDailyBoardings , AvgDailyAlightings 
SAT,750,NORTHBOUND     ,0,1,Provo Central Station,23073,1-AM Peak, 213 , 19 
SAT,750,NORTHBOUND     ,0,1,Provo Central Station,23073,2-Midday, 580 , 71 
SAT,750,NORTHBOUND     ,0,1,Provo Central Station,23073,3-PM Peak, 321 , 41 
SAT,750,NORTHBOUND     ,0,1,Provo Central Station,23073,4-Evening, 156 , 25 
SAT,750,NORTHBOUND     ,0,2,Orem Central Station,23076,1-AM Peak, 91 , 2 
SAT,750,NORTHBOUND     ,0,2,Orem Central Station,23076,2-Midday, 290 , 17 
SAT,750,NORTHBOUND     ,0,2,Orem Central Station,23076,3-PM Peak, 158 , 15 
SAT,750,NORTHBOUND     ,0,2,Orem Central Station,23076,4-Evening, 76 , 9 
SAT,750,NORTHBOUND     ,0,3,American Fork Station,23071,1-AM Peak, 32 , 4 
SAT,750,NORTHBOUND     ,0,3,American Fork Station,23071,2-Midday, 127 , 22 
SAT,750,NORTHBOUND     ,0,3,American Fork Station,23071,3-PM Peak, 63 , 16 
SAT,750,NORTHBOUND     ,0,3,American Fork Station,23071,4-Evening, 27 , 7 
SAT,750,NORTHBOUND     ,0,4,Lehi Station,23074,1-AM Peak, 52 , 16 
SAT,750,NORTHBOUND     ,0,4,Lehi Station,23074,2-Midday, 155 , 48 
SAT,750,NORTHBOUND     ,0,4,Lehi Station,23074,3-PM Peak, 88 , 29 
SAT,750,NORTHBOUND     ,0,4,Lehi Station,23074,4-Evening, 30 , 10 
SAT,750,NORTHBOUND     ,0,5,Draper Station,23081,1-AM Peak, 13 , 14 
SAT,750,NORTHBOUND     ,0,5,Draper Station,23081,2-Midday, 57 , 44 
SAT,750,NORTHBOUND     ,0,5,Draper Station,23081,3-PM Peak, 40 , 28 
SAT,750,NORTHBOUND     ,0,5,Draper Station,23081,4-Evening, 16 , 13 
SAT,750,NORTHBOUND     ,0,6,South Jordan Station,23082,1-AM Peak, 12 , 14 
SAT,750,NORTHBOUND     ,0,6,South Jordan Station,23082,2-Midday, 57 , 63 
SAT,750,NORTHBOUND     ,0,6,South Jordan Station,23082,3-PM Peak, 33 , 34 
SAT,750,NORTHBOUND     ,0,6,South Jordan Station,23082,4-Evening, 15 , 16 
SAT,750,NORTHBOUND     ,0,7,Murray Central Station,23080,1-AM Peak, 32 , 55 
SAT,750,NORTHBOUND     ,0,7,Murray Central Station,23080,2-Midday, 115 , 221 
SAT,750,NORTHBOUND     ,0,7,Murray Central Station,23080,3-PM Peak, 54 , 145 
SAT,750,NORTHBOUND     ,0,7,Murray Central Station,23080,4-Evening, 37 , 66 
SAT,750,NORTHBOUND     ,0,8,Salt Lake Central Departure,21771,1-AM Peak, 38 , 104 
SAT,750,NORTHBOUND     ,0,8,Salt Lake Central Departure,21771,2-Midday, 111 , 311 
SAT,750,NORTHBOUND     ,0,8,Salt Lake Central Departure,21771,3-PM Peak, 99 , 169 
SAT,750,NORTHBOUND     ,0,8,Salt Lake Central Departure,21771,4-Evening, 87 , 58 
