TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,   1796444, 100.00, 100.00,    127511, 100.00, 100.00,   4563381, 100.00, 100.00,   2424078, 100.00, 100.00,    647468, 100.00, 100.00,   9558883, 100.00, 100.00,
    2) Non-Motorized,     84794,   4.72,   4.72,     22089,  17.32,  17.32,    497472,  10.90,  10.90,    148601,   6.13,   6.13,    271148,  41.88,  41.88,   1024104,  10.71,  10.71,
    2) Motorized,   1711651,  95.28,  95.28,    105423,  82.68,  82.68,   4065909,  89.10,  89.10,   2275477,  93.87,  93.87,    376320,  58.12,  58.12,   8534779,  89.29,  89.29
        3) Auto,   1664463,  92.65,  97.24,     86345,  67.72,  81.90,   4033996,  88.40,  99.22,   2263909,  93.39,  99.49,-,-,-,   8425032,  88.14,  98.71,
            4) Auto 1 pers,   1386912,  77.20,  83.32,     64164,  50.32,  74.31,   1373366,  30.10,  34.04,    967823,  39.93,  42.75,-,-,-,   3792265,  39.67,  45.01,
                    GP use,   1376042,  76.60,  99.22,     63855,  50.08,  99.52,   1371131,  30.05,  99.84,    964020,  39.77,  99.61,-,-,-,   3775047,  39.49,  99.55,
                    Toll use,     10870,   0.61,   0.78,       309,   0.24,   0.48,      2239,   0.05,   0.16,      3804,   0.16,   0.39,-,-,-,     17222,   0.18,   0.45
            4) Auto 2 pers,    174613,   9.72,  10.49,     14451,  11.33,  16.74,   1059943,  23.23,  26.28,    574511,  23.70,  25.38,-,-,-,   1823519,  19.08,  21.64,
                    GP use,    122314,   6.81,  70.05,     11621,   9.11,  80.41,    997940,  21.87,  94.15,    516424,  21.30,  89.89,-,-,-,   1648299,  17.24,  90.39,
                    HOV use,     52296,   2.91,  29.95,      2830,   2.22,  19.59,     61993,   1.36,   5.85,     58088,   2.40,  10.11,-,-,-,    175208,   1.83,   9.61,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,    102920,   5.73,   6.18,      7730,   6.06,   8.95,   1600682,  35.08,  39.68,    721551,  29.77,  31.87,-,-,-,   2432884,  25.45,  28.88,
                    GP use,     71468,   3.98,  69.44,      6216,   4.88,  80.41,   1507169,  33.03,  94.16,    648420,  26.75,  89.86,-,-,-,   2233273,  23.36,  91.80,
                    HOV use,     31442,   1.75,  30.55,      1514,   1.19,  19.59,     93515,   2.05,   5.84,     73138,   3.02,  10.14,-,-,-,    199610,   2.09,   8.20,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    376320,  58.12,  58.12,    376320,   3.94,  58.12,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,    260337,  40.21,  69.18,    260337,   2.72,  69.18,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     19099,   2.95,   5.08,     19099,   0.20,   5.08,
