TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,   1141377, 100.00, 100.00,    127511, 100.00, 100.00,   1477070, 100.00, 100.00,    739369, 100.00, 100.00,    434445, 100.00, 100.00,   3919772, 100.00, 100.00,
    2) Non-Motorized,     48181,   4.22,   4.22,     22767,  17.85,  17.85,    146937,   9.95,   9.95,     29214,   3.95,   3.95,    182356,  41.97,  41.97,    429455,  10.96,  10.96,
    2) Motorized,   1093196,  95.78,  95.78,    104744,  82.15,  82.15,   1330133,  90.05,  90.05,    710155,  96.05,  96.05,    252089,  58.03,  58.03,   3490317,  89.04,  89.04
        3) Auto,   1052853,  92.24,  96.31,     80846,  63.40,  77.18,   1315152,  89.04,  98.87,    704243,  95.25,  99.17,-,-,-,   3405182,  86.87,  97.56,
            4) Auto 1 pers,    853157,  74.75,  81.03,     60127,  47.15,  74.37,    430297,  29.13,  32.72,    306071,  41.40,  43.46,-,-,-,   1649652,  42.09,  48.45,
                    GP use,    824966,  72.28,  96.70,     58397,  45.80,  97.12,    428601,  29.02,  99.61,    303746,  41.08,  99.24,-,-,-,   1615710,  41.22,  97.94,
                    Toll use,     28195,   2.47,   3.30,      1730,   1.36,   2.88,      1695,   0.11,   0.39,      2326,   0.31,   0.76,-,-,-,     33946,   0.87,   2.06
            4) Auto 2 pers,    121601,  10.65,  11.55,     13498,  10.59,  16.70,    357279,  24.19,  27.17,    171397,  23.18,  24.34,-,-,-,    663776,  16.93,  19.49,
                    GP use,     76162,   6.67,  62.63,     10599,   8.31,  78.52,    335827,  22.74,  94.00,    151718,  20.52,  88.52,-,-,-,    574305,  14.65,  86.52,
                    HOV use,     45437,   3.98,  37.37,      2899,   2.27,  21.48,     21448,   1.45,   6.00,     19677,   2.66,  11.48,-,-,-,     89461,   2.28,  13.48,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     78088,   6.84,   7.42,      7221,   5.66,   8.93,    527584,  35.72,  40.12,    226771,  30.67,  32.20,-,-,-,    839663,  21.42,  24.66,
                    GP use,     48904,   4.28,  62.63,      5670,   4.45,  78.52,    495910,  33.57,  94.00,    200734,  27.15,  88.52,-,-,-,    751217,  19.16,  89.47,
