TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,   1796272, 100.00, 100.00,    127511, 100.00, 100.00,   4565073, 100.00, 100.00,   2424271, 100.00, 100.00,    645763, 100.00, 100.00,   9558891, 100.00, 100.00,
    2) Non-Motorized,     83440,   4.65,   4.65,     22767,  17.85,  17.85,    514426,  11.27,  11.27,    145677,   6.01,   6.01,    271162,  41.99,  41.99,   1037471,  10.85,  10.85,
    2) Motorized,   1712833,  95.35,  95.35,    104744,  82.15,  82.15,   4050648,  88.73,  88.73,   2278594,  93.99,  93.99,    374601,  58.01,  58.01,   8521419,  89.15,  89.15
        3) Auto,   1655094,  92.14,  96.63,     80846,  63.40,  77.18,   4011849,  87.88,  99.04,   2262151,  93.31,  99.28,-,-,-,   8384540,  87.71,  98.39,
            4) Auto 1 pers,   1373673,  76.47,  83.00,     60127,  47.15,  74.37,   1368120,  29.97,  34.10,    964761,  39.80,  42.65,-,-,-,   3766681,  39.40,  44.92,
                    GP use,   1342579,  74.74,  97.74,     58397,  45.80,  97.12,   1365355,  29.91,  99.80,    959448,  39.58,  99.45,-,-,-,   3725779,  38.98,  98.91,
                    Toll use,     31096,   1.73,   2.26,      1730,   1.36,   2.88,      2767,   0.06,   0.20,      5313,   0.22,   0.55,-,-,-,     40907,   0.43,   1.09
            4) Auto 2 pers,    176972,   9.85,  10.69,     13498,  10.59,  16.70,   1053212,  23.07,  26.25,    575078,  23.72,  25.42,-,-,-,   1818760,  19.03,  21.69,
                    GP use,    117839,   6.56,  66.59,     10599,   8.31,  78.52,    997022,  21.84,  94.66,    517278,  21.34,  89.95,-,-,-,   1642738,  17.19,  90.32,
                    HOV use,     59129,   3.29,  33.41,      2899,   2.27,  21.48,     56186,   1.23,   5.33,     57801,   2.38,  10.05,-,-,-,    176016,   1.84,   9.68,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,    104434,   5.81,   6.31,      7221,   5.66,   8.93,   1590508,  34.84,  39.65,    722294,  29.79,  31.93,-,-,-,   2424456,  25.36,  28.92,
                    GP use,     68742,   3.83,  65.82,      5670,   4.45,  78.52,   1505781,  32.98,  94.67,    649461,  26.79,  89.92,-,-,-,   2229653,  23.33,  91.97,
                    HOV use,     35695,   1.99,  34.18,      1551,   1.22,  21.48,     84729,   1.86,   5.33,     72832,   3.00,  10.08,-,-,-,    194807,   2.04,   8.04,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    374601,  58.01,  58.01,    374601,   3.92,  58.01,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,    258963,  40.10,  69.13,    258963,   2.71,  69.13,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     19002,   2.94,   5.07,     19002,   0.20,   5.07,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     96637,  14.96,  25.80,     96637,   1.01,  25.80,
                    K-6,-,-,-,-,-,-,-,-,-,-,-,-,    194048,  30.05,  51.80,    194048,   2.03,  51.80,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,    141028,  21.84,  72.68,    141028,   1.48,  72.68,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,         0,      0,      0,         0,      0,      0,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     53020,   8.21,  27.32,     53020,   0.55,  27.32,
                    7-12,-,-,-,-,-,-,-,-,-,-,-,-,    180553,  27.96,  48.20,    180553,   1.89,  48.20,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,    117935,  18.26,  65.32,    117935,   1.23,  65.32,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     19002,   2.94,  10.52,     19002,   0.20,  10.52,
