TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    654895, 100.00, 100.00,         0, 100.00, 100.00,   3088003, 100.00, 100.00,   1684902, 100.00, 100.00,    211140, 100.00, 100.00,   5638940, 100.00, 100.00,
    2) Non-Motorized,     35259,   5.38,   5.38,         0,      0,      0,    367489,  11.90,  11.90,    116463,   6.91,   6.91,     88807,  42.06,  42.06,    608017,  10.78,  10.78,
    2) Motorized,    619637,  94.62,  94.62,         0,      0,      0,   2720514,  88.10,  88.10,   1568439,  93.09,  93.09,    122333,  57.94,  57.94,   5030923,  89.22,  89.22
        3) Auto,    602241,  91.96,  97.19,         0,      0,      0,   2696697,  87.33,  99.12,   1557908,  92.46,  99.33,-,-,-,   4979179,  88.30,  98.97,
            4) Auto 1 pers,    520516,  79.48,  86.43,         0,      0,      0,    937823,  30.37,  34.78,    658690,  39.09,  42.28,-,-,-,   2117028,  37.54,  42.52,
                    GP use,    517613,  79.04,  99.44,         0,      0,      0,    936753,  30.34,  99.89,    655703,  38.92,  99.55,-,-,-,   2110069,  37.42,  99.67,
                    Toll use,      2902,   0.44,   0.56,         0,      0,      0,      1072,   0.03,   0.11,      2987,   0.18,   0.45,-,-,-,      6961,   0.12,   0.33
            4) Auto 2 pers,     55371,   8.45,   9.19,         0,      0,      0,    695933,  22.54,  25.81,    403681,  23.96,  25.91,-,-,-,   1154984,  20.48,  23.20,
                    GP use,     41678,   6.36,  75.27,         0,      0,      0,    661194,  21.41,  95.01,    365561,  21.70,  90.56,-,-,-,   1068433,  18.95,  92.51,
                    HOV use,     13692,   2.09,  24.73,         0,      0,      0,     34739,   1.12,   4.99,     38124,   2.26,   9.44,-,-,-,     86555,   1.53,   7.49,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
